CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,Churn_Risk,CLV_12_Months,Cluster
12431,2010-12-01,1,234.25,5722,Low,281.1,1
12583,2010-12-01,1,855.86,5722,Low,1027.03,1
13047,2010-12-01,3,366.63,5722,Low,439.96,1
13748,2010-12-01,1,204.0,5722,Low,244.8,1
14688,2010-12-01,1,444.98,5722,Low,533.98,1
15100,2010-12-01,1,350.4,5722,Medium,420.48,1
15291,2010-12-01,1,328.8,5722,Medium,394.56,1
15311,2010-12-01,1,449.98,5722,Medium,539.98,1
16029,2010-12-01,2,3702.12,5722,Medium,4442.54,0
16098,2010-12-01,1,430.6,5722,Medium,516.72,1
16250,2010-12-01,1,226.14,5722,High,271.37,1
17420,2010-12-01,1,130.85,5722,High,157.02,1
17809,2010-12-01,1,34.8,5722,High,41.76,1
17850,2010-12-01,6,725.44,5722,High,870.53,1
18074,2010-12-01,1,489.6,5722,High,587.52,1
